Relationship ID,Relationship Type,Source Entity,Target Entity,Cardinality,Direction,Supporting Attributes,Evidence Dataset,Observed vs Inferred,Confidence Score,TKG Purpose
CAND_REL_001,communicates_with,Source IP,Destination IP,N:M,Directed,"src_ip, dst_ip, orig_h, resp_h, orig_bytes, resp_bytes","Processed_Network_dataset, Processed_IoT_dataset",OBSERVED,1.0,Primary network layer communication edge
CAND_REL_002,executes,User,Process,1:N,Directed,"user, username, PID, CMD, process_name","Processed_Windows_dataset, Processed_Linux_dataset",OBSERVED,1.0,User process execution tracking
CAND_REL_003,creates,Process,Process,1:N,Directed,"creating_process_id, id_process, PID, PPID","Processed_Windows_dataset, Processed_Linux_dataset",OBSERVED,1.0,Process tree lineage and fork hierarchy
CAND_REL_004,runs_on,Process / Service,Host,N:1,Directed,"host, asset, machine, system, PID, daemon","Processed_Linux_dataset, Processed_Windows_dataset",OBSERVED,0.95,Host system resource consumption mapping
CAND_REL_005,uses,Session / Connection,Protocol,N:1,Directed,"proto, service, port, uid",Processed_Network_dataset,OBSERVED,1.0,Network protocol and application service mapping
CAND_REL_006,generates,Device,Event,1:N,Directed,"device_id, label, type, status, event_id",Processed_IoT_dataset,OBSERVED,1.0,IoT sensor event telemetry logging
CAND_REL_007,accesses,Process,Host / Memory / Disk,N:M,Directed,"PID, RDDSK, WRDSK, VSIZE, RSIZE, MINFLT, MAJFLT","Processed_Linux_dataset, Processed_Windows_dataset",OBSERVED,0.9,Process system resource I/O access
CAND_REL_008,CO_LOCATED_ON,Process,User,N:1,Undirected,"user, username, host, timestamp","Processed_Linux_dataset, Processed_Windows_dataset",INFERRED,0.85,Session co-location candidate edge (BRIDG-ICS inspired)
CAND_REL_009,SIMILAR_TELEMETRY_PROFILE,Device,Device,N:M,Undirected,"device_type, temp_condition, sphone_signal",Processed_IoT_dataset,INFERRED,0.75,Cluster candidate relationship for anomaly detection
CAND_REL_010,PRECEDES_TEMPORALLY,Event (t_i),Event (t_i+1),1:1,Directed,"timestamp, delta_time_ms, relative_time_seconds",All 4 Datasets,OBSERVED,1.0,Temporal ordering backbone edge
