Node ID,Node Type,Dataset / Source,Supporting Dataset Features,Feature Count,Observed / Derived / Inferred,Entity Category,Temporal / TKG Relevance,Evidence / Reason
NODE_001,Source IP,"Processed_Network_dataset, Processed_IoT_dataset","src_ip, orig_h, Source_IP",3,OBSERVED,Network Identity,High — Network traffic originator node,IPv4/IPv6 source address header in network packets
NODE_002,Destination IP,"Processed_Network_dataset, Processed_IoT_dataset","dst_ip, resp_h, Destination_IP",3,OBSERVED,Network Identity,High — Network traffic receiver node,IPv4/IPv6 destination address header in network packets
NODE_003,User,"Processed_Windows_dataset, Processed_Linux_dataset","user, username, Account_Name",3,OBSERVED,OS Identity,High — User identity & credential context,OS user login session authority identifier
NODE_004,Host,"Processed_Linux_dataset, Processed_Windows_dataset, Processed_Network_dataset","host, hostname, machine, asset, System",5,OBSERVED,Host Asset,Critical — Host machine asset entity,Physical / virtual machine system asset name
NODE_005,Process,"Processed_Linux_dataset, Processed_Windows_dataset","PID, CMD, command, exec, process_name, creating_process_id",6,OBSERVED,OS Execution,Critical — Execution process entity,OS process table entry with PID and executable command
NODE_006,Device,Processed_IoT_dataset,"device_id, hardware_id, fridge, thermostat, door, light, gps",7,OBSERVED,IoT Hardware,High — Industrial / IoT hardware device,IoT device identifier string in telemetry payload
NODE_007,Protocol,"Processed_Network_dataset, Processed_IoT_dataset","proto, protocol, service, modbus",4,OBSERVED,Network Protocol,Medium — Transport / Application protocol,"Transport/application protocol name (TCP, UDP, Modbus)"
NODE_008,Service,"Processed_Network_dataset, Processed_Windows_dataset","service, daemon, Service_Name",3,OBSERVED,Application Service,Medium — Application service endpoint,"Network service daemon name (HTTP, DNS, SSH, SMB)"
NODE_009,Session,"Processed_Network_dataset, Processed_Windows_dataset","uid, session_id, conn_state, logon_id",4,OBSERVED,Interaction Session,High — Interaction session container,Unique network connection UID or OS logon session ID
NODE_010,Event,All 4 Datasets,"event_id, timestamp, date, time, EventID, ts",6,OBSERVED,Telemetry Event,Critical — Timestamped event instance,Monotonic timestamped event record row
NODE_011,Port,"Processed_Network_dataset, Processed_IoT_dataset","src_port, dst_port, port_number, id.orig_p, id.resp_p",5,OBSERVED,Network Port,Medium — Transport layer port,Transport layer TCP/UDP port number
NODE_012,Network_Flow,Processed_Network_dataset,"flow_id, orig_bytes, resp_bytes, orig_pkts, resp_pkts, flow_duration",6,DERIVED,Network Aggregation,High — Aggregated flow record,Calculated bidirectional flow summary object
NODE_013,Command,"Processed_Windows_dataset, Processed_Linux_dataset","CMD, command, exec, Image, CommandLine",5,OBSERVED,OS Execution String,High — Executed CLI string,Full command line invocation string
NODE_014,System_Resource,"Processed_Windows_dataset, Processed_Linux_dataset","LogicalDisk, Memory, Processor, System",4,OBSERVED,OS Hardware Subsystem,Medium — System resource subsystem,Hardware subsystem counter object
NODE_015,ProcessVariable,Processed_IoT_dataset,"FC1_Read_Input_Register, FC2_Read_Discrete_Value, FC3_Read_Holding_Register, FC4_Read_Coil, temp_condition",5,OBSERVED,BRIDG-ICS Industrial Telemetry,High — BRIDG-ICS telemetry variable,Modbus PLC register address or IoT sensor variable
NODE_016,Observation,Processed_IoT_dataset,"obs_id, timestamp, val, sensor_reading",4,DERIVED,BRIDG-ICS Measurement Instance,High — BRIDG-ICS measurement instance,Instantaneous timestamped sensor measurement reading
NODE_017,OperationalState,"Processed_Network_dataset, Processed_Linux_dataset","conn_state, state, status, TRUN, TSLPI, TSLPU",6,OBSERVED,System Run State,Medium — System run state indicator,Network connection state or process thread run state
NODE_018,Network_Adapter,Processed_Windows_dataset,"Network_I(Intel R _82574L_GNC), Network_I(6TO4 Adapter)",2,OBSERVED,OS Network Hardware,Low — Host NIC hardware interface,Windows Network Interface Card adapter object
NODE_019,Account,Processed_Windows_dataset,"account_type, privileges, Security_ID",3,OBSERVED,OS Security Group,Medium — Security authority group,System security authority group level
NODE_020,File_System,"Processed_Linux_dataset, Processed_Windows_dataset","vstext, file_read, disk_volume, File_Path",4,OBSERVED,OS File & Disk Region,Medium — Disk volume & file handle,Virtual memory region or disk file handle
NODE_021,Alert,"Processed_Network_dataset, Processed_IoT_dataset","label, attack_type, type, threat_level",4,OBSERVED,Security Ground Truth,Critical — Security alert ground truth,Dataset intrusion detection attack label
NODE_022,Memory_Pool,Processed_Windows_dataset,"Memory Pool Paged Bytes, Memory Pool Nonpaged Bytes",2,OBSERVED,OS Memory Region,Low — Host memory pool region,Windows paged/nonpaged memory pool counter
NODE_023,Processor_Core,"Processed_Linux_dataset, Processed_Windows_dataset","CPUNR, Processor_pct_ Idle_Time, Processor_pct_ User_Time",3,OBSERVED,OS CPU Core,Low — CPU core execution unit,CPU core index or core time counter
NODE_024,IoT_Sensor,Processed_IoT_dataset,"IoT_Modbus, IoT_Thermostat, IoT_Motion_Light, IoT_Fridge",4,OBSERVED,IoT Hardware Module,High — IoT hardware sensor module,Physical IoT sensor device type
NODE_025,Geospatial_Location,Processed_IoT_dataset,"latitude, longitude",2,OBSERVED,Location Coordinates,Medium — Physical GPS location,GPS latitude and longitude coordinates
