=== TABLE 1: COMPLETE NODE CATALOG (25 NODE TYPES) ===
Node ID,Node Type,Dataset / Source,Supporting Dataset Features,Feature Count,Observed / Derived / Inferred,Entity Category,Temporal / TKG Relevance,Evidence / Reason
NODE_001,Source IP,"Processed_Network_dataset, Processed_IoT_dataset","src_ip, orig_h, Source_IP",3,OBSERVED,Network Identity,High — Network traffic originator node,IPv4/IPv6 source address header in network packets
NODE_002,Destination IP,"Processed_Network_dataset, Processed_IoT_dataset","dst_ip, resp_h, Destination_IP",3,OBSERVED,Network Identity,High — Network traffic receiver node,IPv4/IPv6 destination address header in network packets
NODE_003,User,"Processed_Windows_dataset, Processed_Linux_dataset","user, username, Account_Name",3,OBSERVED,OS Identity,High — User identity & credential context,OS user login session authority identifier
NODE_004,Host,"Processed_Linux_dataset, Processed_Windows_dataset, Processed_Network_dataset","host, hostname, machine, asset, System",5,OBSERVED,Host Asset,Critical — Host machine asset entity,Physical / virtual machine system asset name
NODE_005,Process,"Processed_Linux_dataset, Processed_Windows_dataset","PID, CMD, command, exec, process_name, creating_process_id",6,OBSERVED,OS Execution,Critical — Execution process entity,OS process table entry with PID and executable command
NODE_006,Device,Processed_IoT_dataset,"device_id, hardware_id, fridge, thermostat, door, light, gps",7,OBSERVED,IoT Hardware,High — Industrial / IoT hardware device,IoT device identifier string in telemetry payload
NODE_007,Protocol,"Processed_Network_dataset, Processed_IoT_dataset","proto, protocol, service, modbus",4,OBSERVED,Network Protocol,Medium — Transport / Application protocol,"Transport/application protocol name (TCP, UDP, Modbus)"
NODE_008,Service,"Processed_Network_dataset, Processed_Windows_dataset","service, daemon, Service_Name",3,OBSERVED,Application Service,Medium — Application service endpoint,"Network service daemon name (HTTP, DNS, SSH, SMB)"
NODE_009,Session,"Processed_Network_dataset, Processed_Windows_dataset","uid, session_id, conn_state, logon_id",4,OBSERVED,Interaction Session,High — Interaction session container,Unique network connection UID or OS logon session ID
NODE_010,Event,All 4 Datasets,"event_id, timestamp, date, time, EventID, ts",6,OBSERVED,Telemetry Event,Critical — Timestamped event instance,Monotonic timestamped event record row
NODE_011,Port,"Processed_Network_dataset, Processed_IoT_dataset","src_port, dst_port, port_number, id.orig_p, id.resp_p",5,OBSERVED,Network Port,Medium — Transport layer port,Transport layer TCP/UDP port number
NODE_012,Network_Flow,Processed_Network_dataset,"flow_id, orig_bytes, resp_bytes, orig_pkts, resp_pkts, flow_duration",6,DERIVED,Network Aggregation,High — Aggregated flow record,Calculated bidirectional flow summary object
NODE_013,Command,"Processed_Windows_dataset, Processed_Linux_dataset","CMD, command, exec, Image, CommandLine",5,OBSERVED,OS Execution String,High — Executed CLI string,Full command line invocation string
NODE_014,System_Resource,"Processed_Windows_dataset, Processed_Linux_dataset","LogicalDisk, Memory, Processor, System",4,OBSERVED,OS Hardware Subsystem,Medium — System resource subsystem,Hardware subsystem counter object
NODE_015,ProcessVariable,Processed_IoT_dataset,"FC1_Read_Input_Register, FC2_Read_Discrete_Value, FC3_Read_Holding_Register, FC4_Read_Coil, temp_condition",5,OBSERVED,BRIDG-ICS Industrial Telemetry,High — BRIDG-ICS telemetry variable,Modbus PLC register address or IoT sensor variable
NODE_016,Observation,Processed_IoT_dataset,"obs_id, timestamp, val, sensor_reading",4,DERIVED,BRIDG-ICS Measurement Instance,High — BRIDG-ICS measurement instance,Instantaneous timestamped sensor measurement reading
NODE_017,OperationalState,"Processed_Network_dataset, Processed_Linux_dataset","conn_state, state, status, TRUN, TSLPI, TSLPU",6,OBSERVED,System Run State,Medium — System run state indicator,Network connection state or process thread run state
NODE_018,Network_Adapter,Processed_Windows_dataset,"Network_I(Intel R _82574L_GNC), Network_I(6TO4 Adapter)",2,OBSERVED,OS Network Hardware,Low — Host NIC hardware interface,Windows Network Interface Card adapter object
NODE_019,Account,Processed_Windows_dataset,"account_type, privileges, Security_ID",3,OBSERVED,OS Security Group,Medium — Security authority group,System security authority group level
NODE_020,File_System,"Processed_Linux_dataset, Processed_Windows_dataset","vstext, file_read, disk_volume, File_Path",4,OBSERVED,OS File & Disk Region,Medium — Disk volume & file handle,Virtual memory region or disk file handle
NODE_021,Alert,"Processed_Network_dataset, Processed_IoT_dataset","label, attack_type, type, threat_level",4,OBSERVED,Security Ground Truth,Critical — Security alert ground truth,Dataset intrusion detection attack label
NODE_022,Memory_Pool,Processed_Windows_dataset,"Memory Pool Paged Bytes, Memory Pool Nonpaged Bytes",2,OBSERVED,OS Memory Region,Low — Host memory pool region,Windows paged/nonpaged memory pool counter
NODE_023,Processor_Core,"Processed_Linux_dataset, Processed_Windows_dataset","CPUNR, Processor_pct_ Idle_Time, Processor_pct_ User_Time",3,OBSERVED,OS CPU Core,Low — CPU core execution unit,CPU core index or core time counter
NODE_024,IoT_Sensor,Processed_IoT_dataset,"IoT_Modbus, IoT_Thermostat, IoT_Motion_Light, IoT_Fridge",4,OBSERVED,IoT Hardware Module,High — IoT hardware sensor module,Physical IoT sensor device type
NODE_025,Geospatial_Location,Processed_IoT_dataset,"latitude, longitude",2,OBSERVED,Location Coordinates,Medium — Physical GPS location,GPS latitude and longitude coordinates

=== TABLE 2: COMPLETE RELATIONSHIP CATALOG (25 RELATIONSHIP TYPES) ===
Relationship ID,Source Node,Relationship Type,Target Node,Supporting Features,Relationship Attributes,Observed / Derived / Inferred,Confidence / Score,Inference Mechanism,Evidence / Reason,TKG Relevance
REL_001,Source IP,COMMUNICATES_WITH,Destination IP,"src_ip, dst_ip, orig_h, resp_h","orig_bytes, resp_bytes, orig_pkts, resp_pkts",OBSERVED,1.0,Deterministic Schema Verification,Network packet IP header logs,Primary network communication edge
REL_002,User,EXECUTES,Process,"user, PID, CMD","timestamp, CPU_time",OBSERVED,1.0,Deterministic Schema Verification,Windows/Linux process creation audit,User process execution tracking
REL_003,Session,USES_PROTOCOL,Protocol,"uid, proto, service",conn_state,OBSERVED,1.0,Deterministic Schema Verification,Zeek network session protocol log,Protocol mapping
REL_004,Process,RUNS_ON,Host,"PID, host, hostname","VSIZE, RSIZE, CPU_pct",OBSERVED,0.95,Host Machine Telemetry Match,OS process table host telemetry,Process host mapping
REL_005,Process,CREATES,Process,"creating_process_id, PID",timestamp,OBSERVED,1.0,Deterministic Schema Verification,Parent-child process tree lineage,Process tree lineage hierarchy
REL_006,Device,GENERATES_ALERT,Alert,"device_id, label, type","timestamp, threat_score",OBSERVED,1.0,Deterministic Schema Verification,IoT security detection log,Security alert logging
REL_007,Process,ACCESSES,System_Resource,"PID, LogicalDisk, Memory","RDDSK, WRDSK, MINFLT",OBSERVED,0.9,System Resource Counter Link,Process I/O & page fault counters,Resource I/O access
REL_008,Event (t_i),NEXT_EVENT,Event (t_i+1),"timestamp, seq_no",delta_time_ms,OBSERVED,1.0,Monotonic Timestamp Ordering,Monotonic timestamp event sequence,Temporal sequence backbone
REL_009,Event (t_i+1),PREVIOUS_EVENT,Event (t_i),"timestamp, seq_no",delta_time_ms,OBSERVED,1.0,Monotonic Timestamp Ordering,Reverse timestamp event ordering,Reverse temporal backbone
REL_010,Event (t_i),BEFORE,Event (t_i+1),timestamp,time_lag,OBSERVED,1.0,Strict Temporal Inequality (t_i < t_i+1),Strict temporal inequality,Temporal precedence link
REL_011,Event (t_i+1),AFTER,Event (t_i),timestamp,time_lag,OBSERVED,1.0,Strict Temporal Inequality (t_i+1 > t_i),Strict temporal inequality,Temporal succession link
REL_012,Node A,SAME_HOST,Node B,"host, hostname",co_location_time,OBSERVED,1.0,Asset Identifier Co-location,Shared host machine asset identifier,Host co-location link
REL_013,Node A,SAME_SESSION,Node B,"uid, session_id",co_location_time,OBSERVED,1.0,Session UID Co-location,Shared network session UID,Session co-location link
REL_014,Node A,SAME_USER,Node B,"user, username",co_location_time,OBSERVED,1.0,User Authority Co-location,Shared user account authority,User co-location link
REL_015,Source IP,USES_PORT,Port,"src_ip, src_port",port_type,OBSERVED,1.0,Transport Port Header Link,Transport layer TCP/UDP port binding,Transport port mapping
REL_016,Session,CONTAINS_FLOW,Network_Flow,"uid, flow_id","total_bytes, total_pkts",OBSERVED,1.0,Flow Aggregation Match,Flow record connection aggregation,Flow aggregation link
REL_017,Process,RUNS_COMMAND,Command,"PID, CMD",execution_string,OBSERVED,1.0,CLI Audit Log Match,Process CLI execution audit string,Process CLI execution mapping
REL_018,IoT_Sensor,MEASURES,ProcessVariable,"sensor_id, FC1_Reg",sampling_rate,OBSERVED,1.0,BRIDG-ICS Modbus Register Link,BRIDG-ICS sensor Modbus register link,BRIDG-ICS process variable measurement
REL_019,ProcessVariable,OBSERVED_AT,Observation,"reg_id, obs_id","timestamp, numeric_val",DERIVED,1.0,Mathematical Function Verification,BRIDG-ICS timestamped sensor reading,BRIDG-ICS observation temporal instance
REL_020,Source IP,TRANSFERS_DATA,Destination IP,"src_ip, dst_ip, orig_bytes","payload_size, transfer_rate",OBSERVED,1.0,Non-Zero Payload Byte Filter,Non-zero payload byte transfer,Data payload transfer edge
REL_021,User,AUTHENTICATES_WITH,Account,"user, account_type","auth_time, status",OBSERVED,1.0,System Logon Event Verification,System logon authentication event,User account authentication
REL_022,Host,BOUND_TO_ADAPTER,Network_Adapter,"host, Network_I","bandwidth, status",OBSERVED,0.95,Windows NIC Adapter Binding,Windows NIC adapter binding,Host NIC adapter binding
REL_023,Process,ALLOCATES_MEMORY,Memory_Pool,"PID, Pool_Paged_Bytes",allocated_bytes,OBSERVED,0.9,Memory Pool Counter Link,Windows process memory pool allocation,Process memory pool allocation
REL_024,Host / Device,IN_OPERATIONAL_STATE,OperationalState,"host, conn_state, TRUN",state_duration,OBSERVED,0.95,Run State Indicator Link,Host execution state / conn state,System operational state binding
REL_025,Process,CO_LOCATED_ON,User,"user, host, timestamp, PID",co_occurrence_time,INFERRED,0.85,Host & Timestamp Windowing Match,Co-occur on same host asset within identical 1s window,Candidate session co-location edge
